name,team,date_of_birth,palce_of_birth,role,height,test_bat_rank,odi_bat_rank,t20_bat_rank,test_bow_rank,odi_bow_rank,t20_bow_rank,link,bat_path,bow_path,BT_Test_M,BT_Test_Inn,BT_Test_NO,BT_Test_Runs,BT_Test_HS,BT_Test_Avg,BT_Test_BF,BT_Test_SR,BT_Test_100,BT_Test_200,BT_Test_50,BT_Test_4s,BT_Test_6s,BT_ODI_M,BT_ODI_Inn,BT_ODI_NO,BT_ODI_Runs,BT_ODI_HS,BT_ODI_Avg,BT_ODI_BF,BT_ODI_SR,BT_ODI_100,BT_ODI_200,BT_ODI_50,BT_ODI_4s,BT_ODI_6s,BT_T20I_M,BT_T20I_Inn,BT_T20I_NO,BT_T20I_Runs,BT_T20I_HS,BT_T20I_Avg,BT_T20I_BF,BT_T20I_SR,BT_T20I_100,BT_T20I_200,BT_T20I_50,BT_T20I_4s,BT_T20I_6s,BT_IPL_M,BT_IPL_Inn,BT_IPL_NO,BT_IPL_Runs,BT_IPL_HS,BT_IPL_Avg,BT_IPL_BF,BT_IPL_SR,BT_IPL_100,BT_IPL_200,BT_IPL_50,BT_IPL_4s,BT_IPL_6s,BW_Test_M,BW_Test_Inn,BW_Test_B,BW_Test_Runs,BW_Test_Wkts,BW_Test_BBI,BW_Test_BBM,BW_Test_Econ,BW_Test_Avg,BW_Test_SR,BW_Test_5W,BW_Test_10W,BW_ODI_M,BW_ODI_Inn,BW_ODI_B,BW_ODI_Runs,BW_ODI_Wkts,BW_ODI_BBI,BW_ODI_BBM,BW_ODI_Econ,BW_ODI_Avg,BW_ODI_SR,BW_ODI_5W,BW_ODI_10W,BW_T20I_M,BW_T20I_Inn,BW_T20I_B,BW_T20I_Runs,BW_T20I_Wkts,BW_T20I_BBI,BW_T20I_BBM,BW_T20I_Econ,BW_T20I_Avg,BW_T20I_SR,BW_T20I_5W,BW_T20I_10W,BW_IPL_M,BW_IPL_Inn,BW_IPL_B,BW_IPL_Runs,BW_IPL_Wkts,BW_IPL_BBI,BW_IPL_BBM,BW_IPL_Econ,BW_IPL_Avg,BW_IPL_SR,BW_IPL_5W,BW_IPL_10W
Inzamam-ul-Haq,Pakistan,"Mar 03, 1970 (52 years)","Multan, Punjab",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/35,Scores/bat_35.csv,Scores/bow_35.csv,120,200,21,8830,329,49.33,16345,54.02,25,2,46,1105,48,378,350,53,11739,137,39.53,15812,74.24,10,0,83,971,144,1,1,1,11,11,0.0,15,73.33,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,120,1,9,8,0,0/8,0/8,5.33,0.0,0.0,0,0,378,6,58,64,3,1/0,1/0,6.62,21.33,19.33,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Adam Gilchrist,Australia,"Nov 14, 1971 (51 years)","Bellingen, New South Wales",WK-Batsman,1.86 m,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/36,Scores/bat_36.csv,Scores/bow_36.csv,96,137,20,5570,204,47.61,6796,81.96,17,1,26,677,100,287,279,11,9619,172,35.89,9922,96.95,16,0,55,1162,149,13,13,1,272,48,22.67,192,141.67,0,0,0,27,13,80,80,4,2069,109,27.22,1495,138.39,2,0,11,239,92,96,-,-,-,-,-,-,-,-,-,-,-,287,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,80,1,1,0,1,1/0,1/0,0.0,0.0,1.0,0,0
Ricky Ponting,Australia,"Dec 19, 1974 (47 years)","Launceston, Tasmania",Batsman,1.78 m,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/38,Scores/bat_38.csv,Scores/bow_38.csv,168,287,29,13378,257,51.85,22782,58.72,41,6,62,1509,73,375,365,39,13704,164,42.04,17046,80.39,30,0,82,1231,162,17,16,2,401,98,28.64,302,132.78,0,0,2,41,11,10,9,0,91,28,10.11,128,71.09,0,0,0,5,2,168,36,587,276,5,1/0,1/0,2.82,55.2,117.4,0,0,375,5,150,104,3,1/12,1/12,4.16,34.67,50.0,0,0,17,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-
Andrew Symonds,Australia,"Jun 09, 1975 (47 years)","Birmingham, Warwickshire, England",Batting Allrounder,1.87 m,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/39,Scores/bat_39.csv,Scores/bow_39.csv,26,41,5,1462,162,40.61,2256,64.8,2,0,10,154,28,198,161,32,5088,156,39.44,5504,92.44,6,0,30,449,103,14,11,4,337,85,48.14,199,169.35,0,0,2,33,10,39,36,9,974,117,36.07,750,129.87,1,0,5,74,41,26,41,2094,896,24,3/50,5/56,2.57,37.33,87.25,0,0,198,158,5935,4955,133,5/18,5/18,5.01,37.26,44.62,1,0,14,12,185,277,8,2/14,2/14,8.98,34.62,23.12,0,0,39,30,527,674,20,3/21,3/21,7.67,33.7,26.35,0,0
Jason Gillespie,Australia,"Apr 19, 1975 (47 years)","Darlinghurst, Sydney, New South Wales",Bowler,1.95 m,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/40,Scores/bat_40.csv,Scores/bow_40.csv,71,93,28,1218,201,18.74,3810,31.97,1,1,2,146,8,97,39,16,289,44,12.57,368,78.53,0,0,0,16,6,1,1,0,24,24,24.0,18,133.33,0,0,0,4,0,-,-,-,-,-,-,-,-,-,-,-,-,-,71,137,14234,6770,259,7/37,9/80,2.85,26.14,54.96,8,0,97,96,5144,3611,142,5/22,5/22,4.21,25.43,36.23,3,0,1,1,24,49,1,1/49,1/49,12.25,49.0,24.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Glenn McGrath,Australia,"Feb 09, 1970 (52 years)","Dubbo, New South Wales",Bowler,1.95 m,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/41,Scores/bat_41.csv,Scores/bow_41.csv,124,138,51,641,61,7.37,1570,40.83,0,0,1,51,1,250,68,38,115,11,3.83,236,48.73,0,0,0,7,0,2,1,0,5,5,5.0,12,41.67,0,0,0,0,0,14,3,2,4,4,4.0,5,80.0,0,0,0,1,0,124,243,29248,12186,563,8/24,10/27,2.5,21.64,51.95,29,3,250,248,12970,8391,381,7/15,7/15,3.88,22.02,34.04,7,0,2,2,48,79,5,3/31,3/31,9.88,15.8,9.6,0,0,14,14,324,357,12,4/29,4/29,6.61,29.75,27.0,0,0
Brett Lee,Australia,"Nov 08, 1976 (46 years)","Wollongong, New South Wales",Bowler,1.87 m,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/42,Scores/bat_42.csv,Scores/bow_42.csv,76,90,18,1451,64,20.15,2739,52.98,0,0,5,182,18,221,110,44,1176,59,17.82,1407,83.58,0,0,3,69,35,25,12,6,101,43,16.83,71,142.25,0,0,0,9,4,38,19,9,124,25,12.4,97,127.84,0,0,0,8,8,76,150,16531,9554,310,5/30,9/171,3.47,30.82,53.33,10,0,221,217,11185,8877,380,5/22,5/22,4.76,23.36,29.43,9,0,25,25,545,714,28,3/23,3/23,7.86,25.5,19.46,0,0,38,38,875,1095,25,3/15,3/15,7.51,43.8,35.0,0,0
Marcus Trescothick,England,"Dec 25, 1975 (46 years)","Keynsham, Somerset",Batsman,6 ft 3 in,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/44,Scores/bat_44.csv,Scores/bow_44.csv,76,143,10,5825,219,43.8,10685,54.52,14,1,29,831,42,123,122,6,4335,137,37.37,5087,85.22,12,0,21,528,41,3,3,0,166,72,55.33,131,126.72,0,0,2,23,1,-,-,-,-,-,-,-,-,-,-,-,-,-,76,10,300,155,1,1/34,1/34,3.1,155.0,300.0,0,0,123,13,232,219,4,2/7,2/7,5.66,54.75,58.0,0,0,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stephen Fleming,New Zealand,"Apr 01, 1973 (49 years)","Christchurch, Canterbury",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/49,Scores/bat_49.csv,Scores/bow_49.csv,111,189,10,7172,274,40.07,15652,45.82,9,3,46,917,26,280,269,21,8037,134,32.41,11242,71.49,8,0,49,823,63,5,5,0,110,38,22.0,85,129.41,0,0,0,20,0,10,10,1,196,45,21.78,165,118.79,0,0,0,27,3,111,-,-,-,-,-,-,-,-,-,-,-,280,3,29,28,1,1/8,1/8,5.79,28.0,29.0,0,0,5,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-
Nathan Astle,New Zealand,"Sep 15, 1971 (51 years)","Christchurch, Canterbury",Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/50,Scores/bat_50.csv,Scores/bow_50.csv,81,137,9,4702,222,36.73,9479,49.6,11,1,24,612,39,223,217,14,7090,145,34.93,9760,72.64,16,0,41,720,86,4,4,1,74,40,24.67,67,110.45,0,0,0,7,2,-,-,-,-,-,-,-,-,-,-,-,-,-,81,94,5688,2143,51,3/27,6/62,2.26,42.02,111.53,0,0,223,159,4850,3809,99,4/43,4/43,4.71,38.47,48.99,0,0,4,2,41,50,4,3/20,3/20,7.32,12.5,10.25,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Chris Cairns,New Zealand,"Jun 13, 1970 (52 years)","Picton, Marlborough",Batting Allrounder,194 cm,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/52,Scores/bat_52.csv,Scores/bow_52.csv,62,104,5,3320,158,33.54,5815,57.09,5,0,22,365,87,215,193,25,4950,115,29.46,5874,84.27,4,0,26,345,153,2,2,0,3,2,1.5,13,23.08,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,62,104,11698,6410,218,7/27,10/100,3.29,29.4,53.66,13,1,215,186,8168,6594,201,5/42,5/42,4.84,32.81,40.64,1,0,2,2,48,52,1,1/28,1/28,6.5,52.0,48.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Hamish Marshall,New Zealand,"Feb 15, 1979 (43 years)","Warkworth, Auckland",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/56,Scores/bat_56.csv,Scores/bow_56.csv,13,19,2,652,160,38.35,1378,47.31,2,0,2,83,3,66,62,9,1454,101,27.43,1990,73.07,1,0,12,98,8,3,3,0,12,8,4.0,14,85.71,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,13,1,6,4,0,0/4,0/4,4.0,0.0,0.0,0,0,66,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Craig McMillan,New Zealand,"Sep 13, 1976 (46 years)","Christchurch, Canterbury",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/57,Scores/bat_57.csv,Scores/bow_57.csv,55,91,10,3116,142,38.47,5670,54.96,6,0,19,367,54,197,183,16,4707,117,28.19,6198,75.94,3,0,28,373,84,8,7,1,187,57,31.17,117,159.83,0,0,1,8,14,-,-,-,-,-,-,-,-,-,-,-,-,-,55,50,2502,1257,28,3/48,3/48,3.01,44.89,89.36,0,0,197,74,1879,1717,49,3/20,3/20,5.48,35.04,38.35,0,0,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Scott Styris,New Zealand,"Jul 10, 1975 (47 years)","Brisbane, Queensland, Australia",Batting Allrounder,5 ft 10 in,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/58,Scores/bat_58.csv,Scores/bow_58.csv,29,48,4,1586,170,36.05,3089,51.34,5,0,6,205,13,188,161,23,4483,141,32.49,5645,79.42,4,0,28,353,68,31,29,2,578,66,21.41,483,119.67,0,0,1,40,25,12,10,3,131,36,18.71,133,98.5,0,0,0,10,3,29,36,1960,1015,20,3/28,3/44,3.11,50.75,98.0,0,0,188,162,6114,4839,137,6/25,6/25,4.75,35.32,44.63,1,0,31,21,309,349,18,3/5,3/5,6.78,19.39,17.17,0,0,12,11,216,276,8,3/32,3/32,7.67,34.5,27.0,0,0
Jacob Oram,New Zealand,"Jul 28, 1978 (44 years)","Palmerston North, Manawatu",Bowling Allrounder,1.98 m,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/59,Scores/bat_59.csv,Scores/bow_59.csv,33,59,10,1780,133,36.33,3533,50.38,5,0,6,209,21,161,117,15,2469,101,24.21,2870,86.03,1,0,13,184,81,36,30,7,474,66,20.61,339,139.82,0,0,2,38,22,18,12,4,106,41,13.25,108,98.15,0,0,0,6,5,33,55,4964,1983,60,4/41,6/63,2.4,33.05,82.73,0,0,161,154,6911,5048,173,5/26,5/26,4.38,29.18,39.95,2,0,36,32,546,794,19,3/33,3/33,8.73,41.79,28.74,0,0,18,14,237,349,9,3/32,3/32,8.84,38.78,26.33,0,0
Andrew Flintoff,England,"Dec 06, 1977 (45 years)","Preston, Lancashire",--,6 ft 4 in,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/61,Scores/bat_61.csv,Scores/bow_61.csv,79,130,9,3845,167,31.78,6197,62.05,5,0,26,513,82,141,122,16,3394,123,32.02,3821,88.82,3,0,18,308,93,7,7,1,76,31,12.67,60,126.67,0,0,0,7,2,3,3,1,62,24,31.0,53,116.98,0,0,0,5,2,79,137,14951,7410,226,5/58,8/156,2.97,32.79,66.15,3,0,141,119,5624,4121,169,5/19,5/19,4.4,24.38,33.28,2,0,7,7,150,161,5,2/23,2/23,6.44,32.2,30.0,0,0,3,3,66,105,2,1/11,1/11,9.55,52.5,33.0,0,0
Steve Harmison,England,"Oct 23, 1978 (44 years)","Ashington, Northumberland",Batting Allrounder,6 ft 4 in,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/62,Scores/bat_62.csv,Scores/bow_62.csv,63,86,23,743,49,11.79,1299,57.2,0,0,0,97,10,58,25,14,91,18,8.27,141,64.54,0,0,0,3,0,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63,115,13375,7192,226,7/12,11/76,3.23,31.82,59.18,8,1,58,57,2899,2481,76,5/33,5/33,5.13,32.64,38.14,1,0,2,2,39,42,1,1/13,1/13,6.46,42.0,39.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Darren Gough,England,"Sep 18, 1970 (52 years)","Monk Bretton, Barnsley, Yorkshire",Bowler,5 ft 11 in,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/63,Scores/bat_63.csv,Scores/bow_63.csv,58,86,17,855,65,12.39,1967,43.47,0,0,2,102,9,159,87,38,609,46,12.43,947,64.31,0,0,0,43,5,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58,95,11821,6503,229,6/42,9/92,3.3,28.4,51.62,9,0,159,156,8470,6209,235,5/44,5/44,4.4,26.42,36.04,2,0,2,2,41,49,3,3/16,3/16,7.17,16.33,13.67,0,0,-,-,-,-,-,-,-,-,-,-,-,-
James Anderson,England,"Jul 30, 1982 (40 years)","Burnley, Lancashire",Bowler,6 ft 2 in,--,--,--,3,--,--,https://www.cricbuzz.com/profiles/65,Scores/bat_65.csv,Scores/bow_65.csv,177,248,106,1302,81,9.17,3282,39.67,0,0,1,176,3,194,79,43,273,28,7.58,560,48.75,0,0,0,23,0,19,4,3,1,1,1.0,2,50.0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,177,329,37907,17638,675,7/42,11/71,2.79,26.13,56.16,32,3,194,191,9584,7861,269,5/23,5/23,4.92,29.22,35.63,2,0,19,19,422,552,18,3/23,3/23,7.85,30.67,23.44,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Paul Collingwood,England,"May 26, 1976 (46 years)","Shotley Bridge, Co Durham",Batsman,5 ft 11 in,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/66,Scores/bat_66.csv,Scores/bow_66.csv,68,115,10,4259,206,40.56,9170,46.44,10,1,20,470,24,197,181,37,5092,120,35.36,6614,76.99,5,0,26,365,74,36,33,2,583,79,18.81,459,127.02,0,0,3,38,24,8,7,2,203,75,40.6,156,130.13,0,0,3,9,13,68,59,1905,1018,17,3/23,3/35,3.21,59.88,112.06,0,0,197,151,5186,4293,111,6/31,6/31,4.97,38.68,46.72,1,0,36,20,234,347,16,4/22,4/22,8.9,21.69,14.62,0,0,8,6,89,101,5,2/19,2/19,6.81,20.2,17.8,0,0
Yuvraj Singh,India,"Dec 12, 1981 (41 years)",Chandigarh,Batting Allrounder,6 ft 2 in (188 cm),--,--,--,--,--,--,https://www.cricbuzz.com/profiles/69,Scores/bat_69.csv,Scores/bow_69.csv,40,62,6,1900,169,33.93,3277,57.98,3,0,11,260,22,304,278,40,8701,150,36.56,9924,87.68,14,0,52,908,155,58,51,9,1177,77,28.02,863,136.38,0,0,8,77,74,132,126,15,2750,83,24.77,2120,129.72,0,0,13,217,149,40,35,931,547,9,2/9,2/20,3.53,60.78,103.44,0,0,304,161,5048,4294,111,5/31,5/31,5.1,38.68,45.48,1,0,58,31,424,499,28,3/17,3/17,7.06,17.82,15.14,0,0,132,73,869,1077,36,4/29,4/29,7.44,29.92,24.14,0,0
Mohammad Kaif,India,"Dec 01, 1980 (42 years)","Allahabad, Uttar Pradesh",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/70,Scores/bat_70.csv,Scores/bow_70.csv,13,22,3,624,148,32.84,1548,40.31,1,0,3,64,2,125,110,24,2753,111,32.01,3822,72.03,2,0,17,228,9,-,-,-,-,-,-,-,-,-,-,-,-,-,29,22,4,259,34,14.39,250,103.6,0,0,0,22,6,13,1,18,4,0,0/4,0/4,1.33,0.0,0.0,0,0,125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-
