name,team,date_of_birth,palce_of_birth,role,height,test_bat_rank,odi_bat_rank,t20_bat_rank,test_bow_rank,odi_bow_rank,t20_bow_rank,link
Daniel Sams,Australia,"Oct 27, 1992 (30 years)","Milperra, New South Wales",Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/13162/daniel-sams
Sean Abbott,Australia,"Feb 29, 1992 (30 years)","Windsor, New South Wales",Bowling Allrounder,--,--,--,--,--,97,--,https://www.cricbuzz.com/profiles/8136/sean-abbott
Alex Carey,Australia,"Aug 27, 1991 (31 years)","Loxton, South Australia",WK-Batsman,--,57,22,--,--,--,--,https://www.cricbuzz.com/profiles/9200/alex-carey
Matthew Wade,Australia,"Dec 26, 1987 (34 years)","Hobart, Tasmania",WK-Batsman,1.70 m,72,--,66,--,--,--,https://www.cricbuzz.com/profiles/1649/matthew-wade
Tim Paine,Australia,"Dec 08, 1984 (38 years)","Hobart, Tasmania",WK-Batsman,1.80 m,58,--,--,--,--,--,https://www.cricbuzz.com/profiles/1994/tim-paine
Pat Cummins,Australia,"May 08, 1993 (29 years)","Westmead, Sydney",Bowler,1.92 m,--,--,--,1,17,46,https://www.cricbuzz.com/profiles/8095/pat-cummins
Nathan Lyon,Australia,"Nov 20, 1987 (35 years)","Young, New South Wales",Bowler,1.81 m,--,--,--,15,--,--,https://www.cricbuzz.com/profiles/7850/nathan-lyon
Mitchell Starc,Australia,"Jan 30, 1990 (32 years)","Baulkham Hills, Sydney, New South Wales",Bowler,1.96 m,--,--,--,10,3,44,https://www.cricbuzz.com/profiles/7710/mitchell-starc
Adam Zampa,Australia,"Mar 31, 1992 (30 years)","Shellharbour, New South Wales",Bowler,--,--,--,--,--,7,7,https://www.cricbuzz.com/profiles/8642/adam-zampa
Josh Hazlewood,Australia,"Jan 08, 1991 (31 years)","Tamworth, New South Wales",Bowler,1.96 m,--,--,--,14,2,4,https://www.cricbuzz.com/profiles/6258/josh-hazlewood
Andrew Tye,Australia,"Dec 12, 1986 (35 years)","Perth, Western Australia",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9617/andrew-tye
James Pattinson,Australia,"May 03, 1990 (32 years)","Melbourne, Victoria",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/2283/james-pattinson
Mitchell Swepson,Australia,"Oct 04, 1993 (29 years)",--,Bowler,--,--,--,--,98,--,--,https://www.cricbuzz.com/profiles/10626/mitchell-swepson
Tamim Iqbal,Bangladesh,"Mar 20, 1989 (33 years)",Chittagong,Batsman,--,42,14,--,--,--,--,https://www.cricbuzz.com/profiles/612/tamim-iqbal
Soumya Sarkar,Bangladesh,"Feb 25, 1993 (29 years)",Satkhira,Batsman,--,--,74,--,--,--,--,https://www.cricbuzz.com/profiles/8233/soumya-sarkar
Sabbir Rahman,Bangladesh,"Nov 22, 1991 (31 years)",Rajsahi,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8231/sabbir-rahman
Mahmudullah,Bangladesh,"Feb 04, 1986 (36 years)",Mymensingh,Batting Allrounder,--,60,37,65,99,--,--,https://www.cricbuzz.com/profiles/1121/mahmudullah
Shakib Al Hasan,Bangladesh,"Mar 24, 1987 (35 years)","Magura, Jessore",Batting Allrounder,--,44,33,63,30,9,32,https://www.cricbuzz.com/profiles/544/shakib-al-hasan
Mosaddek Hossain,Bangladesh,"Dec 10, 1995 (26 years)",Mymensingh,Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8541/mosaddek-hossain
Mohammad Saifuddin,Bangladesh,"Nov 01, 1996 (26 years)","Feni, Chittagong",Bowling Allrounder,--,--,--,--,--,80,--,https://www.cricbuzz.com/profiles/11084/mohammad-saifuddin
Mehidy Hasan Miraz,Bangladesh,"Oct 25, 1997 (25 years)",Khulna,Bowling Allrounder,--,--,--,--,31,8,--,https://www.cricbuzz.com/profiles/11081/mehidy-hasan-miraz
Mushfiqur Rahim,Bangladesh,"Jun 09, 1987 (35 years)",Bogra,WK-Batsman,--,20,18,--,--,--,--,https://www.cricbuzz.com/profiles/394/mushfiqur-rahim
Litton Das,Bangladesh,"Oct 13, 1994 (28 years)",Dinajpur,WK-Batsman,--,14,29,32,--,--,--,https://www.cricbuzz.com/profiles/8540/litton-das
Mohammad Mithun,Bangladesh,"Mar 02, 1991 (31 years)",--,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8221/mohammad-mithun
Mashrafe Mortaza,Bangladesh,"Oct 05, 1983 (39 years)","Norail, Jessore",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/323/mashrafe-mortaza
Rubel Hossain,Bangladesh,"Jan 01, 1990 (32 years)","Bagerhat, Khulna",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1736/rubel-hossain
Mustafizur Rahman,Bangladesh,"Sep 06, 1995 (27 years)",Satkhira,Bowler,--,--,--,--,80,10,35,https://www.cricbuzz.com/profiles/9863/mustafizur-rahman
Abu Jayed,Bangladesh,"Aug 02, 1993 (29 years)",Sylhet,Bowler,--,--,--,--,78,--,--,https://www.cricbuzz.com/profiles/8536/abu-jayed
Darren Bravo,West Indies,"Feb 06, 1989 (33 years)",Trinidad,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1610/darren-bravo
Chris Gayle,West Indies,"Sep 21, 1979 (43 years)","Kingston, Jamaica",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/247/chris-gayle
Evin Lewis,West Indies,"Dec 27, 1991 (30 years)","Port of Spain, Trinidad",Batsman,--,--,80,67,--,--,--,https://www.cricbuzz.com/profiles/8579/evin-lewis
Shimron Hetmyer,West Indies,"Dec 26, 1996 (25 years)","Cumberland, Berbice, Guyana",Batsman,--,--,59,98,--,--,--,https://www.cricbuzz.com/profiles/9789/shimron-hetmyer
Fabian Allen,West Indies,"May 07, 1995 (27 years)","Kingston, Jamaica",Batting Allrounder,--,--,--,--,--,--,94,https://www.cricbuzz.com/profiles/9785/fabian-allen
Jason Holder,West Indies,"Nov 05, 1991 (31 years)",Barbados,Bowling Allrounder,--,64,--,--,22,57,37,https://www.cricbuzz.com/profiles/8313/jason-holder
Andre Russell,West Indies,"Apr 29, 1988 (34 years)",Jamaica,Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7736/andre-russell
Carlos Brathwaite,West Indies,"Jul 18, 1988 (34 years)",Barbados,Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8110/carlos-brathwaite
Shai Hope,West Indies,"Nov 10, 1993 (29 years)",Barbados,WK-Batsman,--,97,12,--,--,--,--,https://www.cricbuzz.com/profiles/10384/shai-hope
Nicholas Pooran,West Indies,"Oct 02, 1995 (27 years)",Trinidad,WK-Batsman,--,--,28,18,--,--,--,https://www.cricbuzz.com/profiles/9406/nicholas-pooran
Sheldon Cottrell,West Indies,"Aug 19, 1989 (33 years)",Jamaica,Bowler,--,--,--,--,--,65,77,https://www.cricbuzz.com/profiles/9395/sheldon-cottrell
Shannon Gabriel,West Indies,"Apr 28, 1988 (34 years)",Trinidad,Bowler,--,--,--,--,35,--,--,https://www.cricbuzz.com/profiles/8092/shannon-gabriel
Kemar Roach,West Indies,"Jun 30, 1988 (34 years)","St. Lucy, Barbados",Bowler,--,--,--,--,12,--,--,https://www.cricbuzz.com/profiles/1359/kemar-roach
Ashley Nurse,West Indies,"Dec 22, 1988 (33 years)","Gibbons, Christ Church, Barbados",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7922/ashley-nurse
Oshane Thomas,West Indies,"Feb 18, 1997 (25 years)",--,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/11442/oshane-thomas
Craig Ervine,Zimbabwe,"Aug 19, 1985 (37 years)",Harare,Batsman,--,--,92,99,--,--,--,https://www.cricbuzz.com/profiles/6334/craig-ervine
Hamilton Masakadza,Zimbabwe,"Aug 09, 1983 (39 years)",Harare,Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/425/hamilton-masakadza
Sikandar Raza,Zimbabwe,"Apr 24, 1986 (36 years)","Sialkot, Punjab, Pakistan",Batting Allrounder,--,52,32,70,68,76,78,https://www.cricbuzz.com/profiles/9354/sikandar-raza
Sean Williams,Zimbabwe,"Sep 26, 1986 (36 years)",Bulawayo,Batting Allrounder,--,32,53,78,100,--,91,https://www.cricbuzz.com/profiles/441/sean-williams
Solomon Mire,Zimbabwe,"Aug 21, 1989 (33 years)",Harare,Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9737/solomon-mire
Brian Chari,Zimbabwe,"Feb 14, 1992 (30 years)",--,Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10168/brian-chari
Timycen Maruma,Zimbabwe,"Apr 19, 1988 (34 years)",Harare,Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/782/timycen-maruma
Elton Chigumbura,Zimbabwe,"Mar 14, 1986 (36 years)","Kwekwe, Midlands",Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/170/elton-chigumbura
Regis Chakabva,Zimbabwe,"Sep 20, 1987 (35 years)",Harare,WK-Batsman,--,82,--,--,--,--,--,https://www.cricbuzz.com/profiles/781/regis-chakabva
Brendan Taylor,Zimbabwe,"Feb 06, 1986 (36 years)",Harare,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/180/brendan-taylor
Peter Moor,Zimbabwe,"Feb 02, 1991 (31 years)",Harare,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10195/peter-moor
Tendai Chatara,Zimbabwe,"Feb 28, 1991 (31 years)",Chimaniamani,Bowler,--,--,--,--,--,83,66,https://www.cricbuzz.com/profiles/6483/tendai-chatara
Donald Tiripano,Zimbabwe,"Mar 17, 1988 (34 years)",Mutare,Bowler,--,--,--,--,83,--,--,https://www.cricbuzz.com/profiles/10066/donald-tiripano
Chris Mpofu,Zimbabwe,"Nov 27, 1985 (37 years)","Plumtree, Matabeleland",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/428/chris-mpofu
Kyle Jarvis,Zimbabwe,"Feb 16, 1989 (33 years)",Harare,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/2289/kyle-jarvis
Brandon Mavuta,Zimbabwe,"Mar 04, 1997 (25 years)",Kadoma,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/11224/brandon-mavuta
Kila Pala,Papua New Guinea,"May 16, 1985 (37 years)","Port Moresby, Papua New Guinea",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10113/kila-pala
Charles Amini,Papua New Guinea,"Apr 14, 1992 (30 years)",Port Moresby,Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10428/charles-amini
Mahuru Dai,Papua New Guinea,"May 30, 1984 (38 years)",Port Moresby,Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10191/mahuru-dai
Vani Morea,Papua New Guinea,"Mar 13, 1983 (39 years)","Port Moresby, Papua New Guinea",Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10118/vani-morea
Lega Siaka,Papua New Guinea,"Dec 21, 1992 (29 years)",Port Moresby,Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8467/lega-siaka
Assad Vala,Papua New Guinea,"Aug 05, 1987 (35 years)",Papua New Guinea,Batting Allrounder,--,--,44,--,--,79,--,https://www.cricbuzz.com/profiles/10120/assad-vala
Assad Vala,Papua New Guinea,"Aug 05, 1987 (35 years)",Papua New Guinea,Batting Allrounder,--,--,44,--,--,79,--,https://www.cricbuzz.com/profiles/10120/assad-vala
Chris Amini,Papua New Guinea,"Jun 12, 1984 (38 years)",Port Moresby,Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10116/chris-amini
Sese Bau,Papua New Guinea,"Jun 23, 1992 (30 years)",--,Bowling Allrounder,--,--,--,90,--,--,--,https://www.cricbuzz.com/profiles/8470/sese-bau
Willie Gavera,Papua New Guinea,"Aug 18, 1988 (34 years)",Papua New Guinea,Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10111/willie-gavera
Pipi Raho,Papua New Guinea,"Mar 04, 1988 (34 years)",Port Morseby,Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10119/pipi-raho
John Reva,Papua New Guinea,"Sep 23, 1990 (32 years)",Port Moresby,Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10114/john-reva
Norman Vanua,Papua New Guinea,"Dec 02, 1993 (29 years)",--,Bowling Allrounder,--,--,--,100,--,--,--,https://www.cricbuzz.com/profiles/8480/norman-vanua
Dogodo Bau,Papua New Guinea,"Dec 05, 1994 (28 years)",--,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8469/dogodo-bau
Geraint Jones,Papua New Guinea,"Jul 14, 1976 (46 years)","Kundiawa, Papua New Guinea",WK-Batsman,5 ft 10 in,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/165/geraint-jones
Tony Ura,Papua New Guinea,"Oct 15, 1989 (33 years)",Papua New Guinea,WK-Batsman,--,--,--,41,--,--,--,https://www.cricbuzz.com/profiles/10115/tony-ura
Jack Vare,Papua New Guinea,"Feb 14, 1986 (36 years)",Papua New Guinea,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10121/jack-vare
Hiri Hiri,Papua New Guinea,"May 01, 1995 (27 years)",--,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9906/hiri-hiri
Loa Nou,Papua New Guinea,"Dec 31, 1987 (34 years)",--,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10425/loa-nou
Nosaina Pokana,Papua New Guinea,"Apr 12, 1996 (26 years)",--,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9910/nosaina-pokana
Chad Soper,Papua New Guinea,"Nov 19, 1991 (31 years)",Port Moresby,Bowler,--,--,--,--,--,55,--,https://www.cricbuzz.com/profiles/8477/chad-soper
Jatinder Singh,Oman,"Mar 05, 1989 (33 years)",--,Batsman,--,--,64,73,--,--,--,https://www.cricbuzz.com/profiles/10453/jatinder-singh
Arun Poulose,Oman,"Jul 22, 1986 (36 years)","Aluva, Ernakulam, Kerala",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10454/arun-poulose
Vaibhav Wategaonkar,Oman,"Aug 30, 1982 (40 years)","Mumbai, India",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10455/vaibhav-wategaonkar
Zeeshan Siddiqui,Oman,"Jul 22, 1979 (43 years)","Karachi, Sind, Pakistan",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10456/zeeshan-siddiqui
Zeeshan Maqsood,Oman,"Oct 24, 1987 (35 years)",--,Batting Allrounder,--,--,62,75,--,50,--,https://www.cricbuzz.com/profiles/10466/zeeshan-maqsood
Amir Ali,Oman,"Nov 24, 1978 (44 years)","Karachi, Sind",Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10452/amir-ali
Khawar Ali,Oman,"Dec 20, 1985 (36 years)",Pakistan,Batting Allrounder,--,--,--,--,--,96,96,https://www.cricbuzz.com/profiles/10467/khawar-ali
Mehran Khan,Oman,"Apr 13, 1987 (35 years)",--,Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10464/mehran-khan
Twinkal Bhandari,Oman,"Oct 16, 1987 (35 years)","Vapi, Gujarat",WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/11833/twinkal-bhandari
Ajay Lalcheta,Oman,"Oct 22, 1983 (39 years)","Gujarat, India",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10458/ajay-lalcheta
Sufyan Mehmood,Oman,"Oct 21, 1991 (31 years)",--,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10461/sufyan-mehmood
Rajeshkumar Ranpura,Oman,"Jul 17, 1983 (39 years)","Palanpur, Gujarat, India",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10460/rajeshkumar-ranpura
Munis Ansari,Oman,"Apr 01, 1984 (38 years)","Sehore, Madhya Pradesh, India",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10457/munis-ansari
Mohammad Nadeem,Oman,"Sep 04, 1982 (40 years)","Sialkot, Pakistan",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10459/mohammad-nadeem
Swapnil Khadye,Oman,--,--,--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10821/swapnil-khadye
Trevin Bastiampillai,Canada,"Oct 26, 1985 (37 years)",Sri Lanka,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/815/trevin-bastiampillai
Tyson Gordon,Canada,"Jan 31, 1982 (40 years)",--,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7852/tyson-gordon
Ruvindu Gunasekera,Canada,"Jul 20, 1991 (31 years)",Colombo,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1422/ruvindu-gunasekera
Jimmy Hansra,Canada,"Dec 29, 1984 (37 years)","Ludhiana, India",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7676/jimmy-hansra
Junaid Siddique,Canada,"Oct 30, 1987 (35 years)",Rajshahi,Batsman,--,--,--,--,--,--,97,https://www.cricbuzz.com/profiles/784/junaid-siddique
