name,team,date_of_birth,palce_of_birth,role,height,test_bat_rank,odi_bat_rank,t20_bat_rank,test_bow_rank,odi_bow_rank,t20_bow_rank,link,bat_path,bow_path,BT_Test_M,BT_Test_Inn,BT_Test_NO,BT_Test_Runs,BT_Test_HS,BT_Test_Avg,BT_Test_BF,BT_Test_SR,BT_Test_100,BT_Test_200,BT_Test_50,BT_Test_4s,BT_Test_6s,BT_ODI_M,BT_ODI_Inn,BT_ODI_NO,BT_ODI_Runs,BT_ODI_HS,BT_ODI_Avg,BT_ODI_BF,BT_ODI_SR,BT_ODI_100,BT_ODI_200,BT_ODI_50,BT_ODI_4s,BT_ODI_6s,BT_T20I_M,BT_T20I_Inn,BT_T20I_NO,BT_T20I_Runs,BT_T20I_HS,BT_T20I_Avg,BT_T20I_BF,BT_T20I_SR,BT_T20I_100,BT_T20I_200,BT_T20I_50,BT_T20I_4s,BT_T20I_6s,BT_IPL_M,BT_IPL_Inn,BT_IPL_NO,BT_IPL_Runs,BT_IPL_HS,BT_IPL_Avg,BT_IPL_BF,BT_IPL_SR,BT_IPL_100,BT_IPL_200,BT_IPL_50,BT_IPL_4s,BT_IPL_6s,BW_Test_M,BW_Test_Inn,BW_Test_B,BW_Test_Runs,BW_Test_Wkts,BW_Test_BBI,BW_Test_BBM,BW_Test_Econ,BW_Test_Avg,BW_Test_SR,BW_Test_5W,BW_Test_10W,BW_ODI_M,BW_ODI_Inn,BW_ODI_B,BW_ODI_Runs,BW_ODI_Wkts,BW_ODI_BBI,BW_ODI_BBM,BW_ODI_Econ,BW_ODI_Avg,BW_ODI_SR,BW_ODI_5W,BW_ODI_10W,BW_T20I_M,BW_T20I_Inn,BW_T20I_B,BW_T20I_Runs,BW_T20I_Wkts,BW_T20I_BBI,BW_T20I_BBM,BW_T20I_Econ,BW_T20I_Avg,BW_T20I_SR,BW_T20I_5W,BW_T20I_10W,BW_IPL_M,BW_IPL_Inn,BW_IPL_B,BW_IPL_Runs,BW_IPL_Wkts,BW_IPL_BBI,BW_IPL_BBM,BW_IPL_Econ,BW_IPL_Avg,BW_IPL_SR,BW_IPL_5W,BW_IPL_10W
Hardik Pandya,India,"Oct 11, 1993 (29 years)","Choryasi, Gujarat",Batting Allrounder,--,--,71,50,--,--,86,https://www.cricbuzz.com/profiles/9647/hardik-pandya,Scores/bat_9647.csv,Scores/bow_9647.csv,11,18,1,532,108,31.29,720,73.89,1,0,4,68,12,66,48,7,1386,92,33.8,1199,115.6,0,0,8,105,54,81,61,16,1160,71,25.78,794,146.1,0,0,3,81,62,107,100,35,1963,91,30.2,1330,147.59,0,0,8,146,110,11,19,937,528,17,5/28,6/50,3.38,31.06,55.12,1,0,66,61,2632,2438,63,4/24,4/24,5.56,38.7,41.78,0,0,81,70,1223,1695,62,4/33,4/33,8.32,27.34,19.73,0,0,107,70,1052,1535,50,3/17,3/17,8.75,30.7,21.04,0,0
Hanuma Vihari,India,"Oct 13, 1993 (29 years)","Kakinada, Andhra Pradesh",Batting Allrounder,--,55,--,--,--,--,--,https://www.cricbuzz.com/profiles/8424/hanuma-vihari,Scores/bat_8424.csv,Scores/bow_8424.csv,16,28,3,839,111,33.56,1988,42.2,1,0,5,107,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,23,3,284,46,14.2,321,88.47,0,0,0,23,1,16,10,345,180,5,3/37,3/38,3.13,36.0,69.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,6,42,47,1,1/5,1/5,6.71,47.0,42.0,0,0
Ravindra Jadeja,India,"Dec 06, 1988 (34 years)","Navagam-Khed, Saurashtra",Bowling Allrounder,--,36,--,--,19,62,--,https://www.cricbuzz.com/profiles/587/ravindra-jadeja,Scores/bat_587.csv,Scores/bow_587.csv,60,89,20,2523,175,36.57,4240,59.5,3,0,17,253,55,171,115,40,2447,87,32.63,2828,86.53,0,0,13,179,50,64,34,15,457,46,24.05,367,124.52,0,0,0,34,12,210,161,67,2502,62,26.62,1960,127.65,0,0,2,182,90,60,114,14751,5980,242,7/48,10/154,2.43,24.71,60.95,10,1,171,166,8611,7062,189,5/36,5/36,4.92,37.37,45.56,1,0,64,62,1237,1453,51,3/15,3/15,7.05,28.49,24.25,0,0,210,181,3205,4064,132,5/16,5/16,7.61,30.79,24.28,1,0
Ravichandran Ashwin,India,"Sep 17, 1986 (36 years)","Chennai, Tamil Nadu",Bowling Allrounder,--,86,--,--,2,--,22,https://www.cricbuzz.com/profiles/1593/ravichandran-ashwin,Scores/bat_1593.csv,Scores/bow_1593.csv,86,123,14,2931,124,26.89,5364,54.64,5,0,12,339,16,113,63,20,707,65,16.44,813,86.96,0,0,1,60,7,65,19,12,184,31,26.29,160,115.0,0,0,0,17,4,184,75,27,647,50,13.48,550,117.64,0,0,1,51,21,86,162,23089,10666,442,7/59,13/140,2.77,24.13,52.24,30,7,113,111,6141,5058,151,4/25,4/25,4.94,33.5,40.67,0,0,65,65,1452,1672,72,4/8,4/8,6.91,23.22,20.17,0,0,184,181,3900,4534,157,4/34,4/34,6.98,28.88,24.84,0,0
KL Rahul,India,"Apr 18, 1992 (30 years)","Mangaluru, Karnataka",WK-Batsman,--,47,35,19,--,--,--,https://www.cricbuzz.com/profiles/8733/kl-rahul,Scores/bat_8733.csv,Scores/bow_8733.csv,43,74,2,2547,199,35.38,4833,52.7,7,0,13,309,17,47,45,6,1752,112,44.92,1993,87.91,5,0,11,130,43,72,68,8,2265,110,37.75,1628,139.13,2,0,22,191,99,109,100,19,3889,132,48.01,2855,136.22,4,0,31,327,164,43,-,-,-,-,-,-,-,-,-,-,-,47,-,-,-,-,-,-,-,-,-,-,-,72,-,-,-,-,-,-,-,-,-,-,-,109,-,-,-,-,-,-,-,-,-,-,-
Sanju Samson,India,"Nov 11, 1994 (28 years)","Pulluvila, Vizhinjam, Trivandrum",WK-Batsman,--,--,89,--,--,--,--,https://www.cricbuzz.com/profiles/8271/sanju-samson,Scores/bat_8271.csv,Scores/bow_8271.csv,-,-,-,-,-,-,-,-,-,-,-,-,-,11,10,5,330,86,66.0,315,104.76,0,0,2,25,15,16,15,1,296,77,21.14,219,135.16,0,0,1,23,13,138,134,13,3526,119,29.14,2598,135.72,3,0,17,279,158,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-,-,138,-,-,-,-,-,-,-,-,-,-,-
Wriddhiman Saha,India,"Oct 24, 1984 (38 years)",Shaktigarh,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1465/wriddhiman-saha,Scores/bat_1465.csv,Scores/bow_1465.csv,40,56,10,1353,117,29.41,2973,45.51,3,0,6,129,14,9,5,2,41,16,13.67,56,73.21,0,0,0,5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,144,119,23,2427,115,25.28,1898,127.87,1,0,11,231,76,40,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,144,-,-,-,-,-,-,-,-,-,-,-
Rishabh Pant,India,"Oct 04, 1997 (25 years)","Haridwar, Uttarakhand",WK-Batsman,--,5,82,82,--,--,--,https://www.cricbuzz.com/profiles/10744/rishabh-pant,Scores/bat_10744.csv,Scores/bow_10744.csv,31,53,4,2123,159,43.33,2922,72.66,5,0,10,233,48,30,26,1,865,125,34.6,811,106.66,1,0,5,90,26,66,56,12,987,65,22.43,780,126.54,0,0,3,86,37,98,97,15,2838,128,34.61,1918,147.97,1,0,15,260,129,31,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,66,-,-,-,-,-,-,-,-,-,-,-,98,-,-,-,-,-,-,-,-,-,-,-
Mohammed Shami,India,"Sep 03, 1990 (32 years)","Amroha, Uttar Pradesh",Bowler,--,--,--,--,17,44,87,https://www.cricbuzz.com/profiles/7909/mohammed-shami,Scores/bat_7909.csv,Scores/bow_7909.csv,60,84,24,685,56,11.42,928,73.81,0,0,2,76,22,82,39,17,184,25,8.36,222,82.88,0,0,0,14,8,23,3,2,0,0,0.0,2,0.0,0,0,0,0,0,93,23,12,69,21,6.27,73,94.52,0,0,0,5,2,60,114,10827,5931,216,6/56,9/118,3.29,27.46,50.12,6,0,82,81,4188,3910,152,5/69,5/69,5.6,25.72,27.55,1,0,23,23,477,711,24,3/15,3/15,8.94,29.62,19.88,0,0,93,93,2036,2890,99,3/15,3/15,8.52,29.19,20.57,0,0
Jasprit Bumrah,India,"Dec 06, 1993 (29 years)",Ahmedabad,Bowler,--,--,--,--,4,16,79,https://www.cricbuzz.com/profiles/9311/jasprit-bumrah,Scores/bat_9311.csv,Scores/bow_9311.csv,30,46,17,212,34,7.31,455,46.59,0,0,0,24,6,72,20,13,47,14,6.71,93,50.54,0,0,0,5,1,60,7,5,8,7,4.0,13,61.54,0,0,0,1,0,120,26,19,56,16,8.0,66,84.85,0,0,0,4,1,30,58,6268,2815,128,6/27,9/86,2.69,21.99,48.97,8,0,72,72,3807,2941,121,6/19,6/19,4.64,24.31,31.46,2,0,60,59,1283,1416,70,3/11,3/11,6.62,20.23,18.33,0,0,120,120,2742,3380,145,5/10,5/10,7.4,23.31,18.91,1,0
Kuldeep Yadav,India,"Dec 14, 1994 (27 years)","Kanpur, Uttar Pradesh",Bowler,--,--,--,--,69,28,--,https://www.cricbuzz.com/profiles/8292/kuldeep-yadav,Scores/bat_8292.csv,Scores/bow_8292.csv,7,8,0,54,26,6.75,185,29.19,0,0,0,6,0,72,24,13,125,19,11.36,199,62.81,0,0,0,10,0,25,4,3,43,23,43.0,48,89.58,0,0,0,2,0,59,18,11,105,16,15.0,127,82.68,0,0,0,8,2,7,12,1063,620,26,5/57,6/119,3.5,23.85,40.88,2,0,72,70,3823,3313,118,6/25,6/25,5.2,28.08,32.4,1,0,25,24,537,617,44,5/24,5/24,6.89,14.02,12.2,1,0,59,57,1194,1655,61,4/14,4/14,8.32,27.13,19.57,0,0
Yuzvendra Chahal,India,"Jul 23, 1990 (32 years)","Jind, Haryana",Bowler,--,--,--,--,--,27,40,https://www.cricbuzz.com/profiles/7910/yuzvendra-chahal,Scores/bat_7910.csv,Scores/bow_7910.csv,-,-,-,-,-,-,-,-,-,-,-,-,-,70,14,5,77,18,8.56,141,54.61,0,0,0,8,0,71,4,2,5,3,2.5,11,45.45,0,0,0,0,0,131,20,13,37,8,5.29,86,43.02,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,70,67,3635,3182,118,6/42,6/42,5.25,26.97,30.81,2,0,71,70,1590,2156,87,6/25,6/25,8.14,24.78,18.28,1,0,131,130,2856,3624,166,5/40,5/40,7.61,21.83,17.2,1,0
Navdeep Saini,India,"Nov 23, 1992 (30 years)","Karnal, Haryana",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9715/navdeep-saini,Scores/bat_9715.csv,Scores/bow_9715.csv,2,3,1,8,5,4.0,27,29.63,0,0,0,1,0,8,5,3,107,45,53.5,137,78.1,0,0,0,9,3,11,3,3,12,11,0.0,11,109.09,0,0,0,2,0,30,7,3,33,12,8.25,37,89.19,0,0,0,3,0,2,4,251,172,4,2/54,4/119,4.11,43.0,62.75,0,0,8,8,420,481,6,2/58,2/58,6.87,80.17,70.0,0,0,11,9,197,235,13,3/17,3/17,7.16,18.08,15.15,0,0,30,30,622,900,20,2/24,2/24,8.68,45.0,31.1,0,0
Shardul Thakur,India,"Oct 16, 1991 (31 years)","Palghar, Maharashtra",Bowler,--,--,--,--,50,42,--,https://www.cricbuzz.com/profiles/8683/shardul-thakur,Scores/bat_8683.csv,Scores/bow_8683.csv,8,14,1,254,67,19.54,367,69.21,0,0,3,32,9,30,18,6,267,50,22.25,246,108.54,0,0,1,26,8,25,6,3,69,22,23.0,38,181.58,0,0,0,5,4,75,24,8,173,29,10.81,134,129.1,0,0,0,12,8,8,15,1107,660,27,7/61,8/108,3.58,24.44,41.0,1,0,30,30,1383,1432,41,4/52,4/52,6.21,34.93,33.73,0,0,25,24,506,772,33,4/27,4/27,9.15,23.39,15.33,0,0,75,74,1550,2340,82,4/36,4/36,9.06,28.54,18.9,0,0
Umesh Yadav,India,"Oct 25, 1987 (35 years)","Nagpur, Maharashtra",Bowler,--,--,--,--,39,--,--,https://www.cricbuzz.com/profiles/1858/umesh-yadav,Scores/bat_1858.csv,Scores/bow_1858.csv,52,61,26,408,31,11.66,822,49.64,0,0,0,37,20,75,24,14,79,18,7.9,134,58.96,0,0,0,8,1,9,2,1,22,20,22.0,21,104.76,0,0,0,2,0,133,45,27,177,24,9.83,168,105.36,0,0,0,15,8,52,102,8235,4867,158,6/88,10/133,3.55,30.8,52.12,3,1,75,73,3558,3565,106,4/31,4/31,6.01,33.63,33.57,0,0,9,9,180,280,12,2/19,2/19,9.33,23.33,15.0,0,0,133,132,2810,3918,135,4/23,4/23,8.37,29.02,20.81,0,0
Mohammed Siraj,India,"Mar 13, 1994 (28 years)",Hyderabad,Bowler,--,--,--,--,48,26,92,https://www.cricbuzz.com/profiles/10808/mohammed-siraj,Scores/bat_10808.csv,Scores/bow_10808.csv,13,19,8,66,16,6.0,118,55.93,0,0,0,7,2,15,6,2,20,9,5.0,46,43.48,0,0,0,2,0,8,1,0,5,5,5.0,7,71.43,0,0,0,1,0,65,20,13,96,14,13.71,109,88.07,0,0,0,10,2,13,25,2230,1231,40,5/73,8/126,3.31,30.77,55.75,1,0,15,15,762,614,23,3/29,3/29,4.83,26.7,33.13,0,0,8,8,192,294,11,4/17,4/17,9.19,26.73,17.45,0,0,65,65,1334,1951,59,4/32,4/32,8.78,33.07,22.61,0,0
William Porterfield,Ireland,"Sep 06, 1984 (38 years)",Londonderry,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/625/william-porterfield,Scores/bat_625.csv,Scores/bow_625.csv,3,6,0,58,32,9.67,227,25.55,0,0,0,7,0,147,145,3,4343,139,30.58,6297,68.97,11,0,20,455,32,61,59,6,1079,72,20.36,971,111.12,0,0,3,120,23,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,147,-,-,-,-,-,-,-,-,-,-,-,61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
James McCollum,Ireland,"Aug 01, 1995 (27 years)",--,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/13942/james-mccollum,Scores/bat_13942.csv,Scores/bow_13942.csv,2,4,0,73,39,18.25,176,41.48,0,0,0,10,0,10,10,0,188,73,18.8,280,67.14,0,0,2,26,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Andrew Balbirnie,Ireland,"Dec 28, 1990 (31 years)","Dublin, Ireland",Batsman,--,--,43,48,--,--,--,https://www.cricbuzz.com/profiles/6710/andrew-balbirnie,Scores/bat_6710.csv,Scores/bow_6710.csv,3,6,0,146,82,24.33,247,59.11,0,0,2,23,0,87,85,5,2544,145,31.8,3383,75.2,7,0,13,244,31,85,82,3,1810,83,22.91,1438,125.87,0,0,8,193,48,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,6,8,0,0/8,0/8,8.0,0.0,0.0,0,0,87,4,60,68,2,1/26,1/26,6.8,34.0,30.0,0,0,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tyrone Kane,Ireland,"Jul 08, 1994 (28 years)","Dublin, Ireland",Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10415/tyrone-kane,Scores/bat_10415.csv,Scores/bow_10415.csv,1,2,0,14,14,7.0,98,14.29,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,6,3,1,36,26,18.0,23,156.52,0,0,0,5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,156,103,0,0/17,0/103,3.96,0.0,0.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,6,5,92,143,9,3/19,3/19,9.33,15.89,10.22,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Kevin O Brien,Ireland,"Mar 04, 1984 (38 years)","Dublin, Ireland",Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/690/kevin-o-brien,Scores/bat_690.csv,Scores/bow_690.csv,3,6,1,258,118,51.6,467,55.25,1,0,1,29,0,152,141,18,3619,142,29.42,4076,88.79,2,0,18,332,84,109,103,10,1973,124,21.22,1506,131.01,1,0,5,165,82,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,60,31,0,0/11,0/11,3.1,0.0,0.0,0,0,152,116,4296,3726,114,4/13,4/13,5.2,32.68,37.68,0,0,109,52,917,1148,58,4/45,4/45,7.51,19.79,15.81,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Paul Stirling,Ireland,"Sep 03, 1990 (32 years)",Ireland,Batting Allrounder,--,--,15,26,--,--,--,https://www.cricbuzz.com/profiles/1114/paul-stirling,Scores/bat_1114.csv,Scores/bow_1114.csv,3,6,0,104,36,17.33,177,58.76,0,0,0,16,0,138,136,3,5172,177,38.89,5958,86.81,13,0,26,556,119,121,120,8,3181,115,28.4,2360,134.79,1,0,21,360,118,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,12,11,0,0/11,0/11,5.5,0.0,0.0,0,0,138,76,2441,1942,43,6/55,6/55,4.77,45.16,56.77,1,0,121,41,522,647,20,3/21,3/21,7.44,32.35,26.1,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Stuart Thompson,Ireland,"Aug 15, 1991 (31 years)","Londonderry, Ireland",Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7985/stuart-thompson,Scores/bat_7985.csv,Scores/bow_7985.csv,3,6,0,64,53,10.67,194,32.99,0,0,1,7,0,19,15,1,228,39,16.29,251,90.84,0,0,0,24,3,40,30,8,328,56,14.91,254,129.13,0,0,1,23,14,-,-,-,-,-,-,-,-,-,-,-,-,-,3,6,410,204,10,3/28,4/93,2.99,20.4,41.0,0,0,19,16,559,490,12,2/17,2/17,5.26,40.83,46.58,0,0,40,30,474,670,18,4/18,4/18,8.48,37.22,26.33,0,0,-,-,-,-,-,-,-,-,-,-,-,-
